fault_line_distance,slope_degree,elevation,soil_type,green_area_coverage,water_proximity,disaster_risk_index,biodiversity_index,protected_area_proximity,air_quality_index,noise_pollution_potential,transport_accessibility,infrastructure_availability,zoning_compliance,poi_density,socioeconomic_score
54797,18.55,3019,sandy,0.39,3080.85,0.59,4.51,17920.37,315,0.38,0.94,True,False,1432,52.69
24270,1.74,276,sandy,0.25,4352.17,0.25,9.65,678.5,492,0.75,0.51,True,False,1820,92.75
49900,0.16,3514,loamy,0.74,1215.19,0.5,6.58,15482.76,295,0.28,0.15,True,False,764,54.03
91242,34.1,3618,sandy,0.16,1380.64,0.53,4.71,18130.67,317,0.47,1.0,True,True,4665,52.78
26347,9.35,2633,loamy,0.89,2873.5,0.72,7.36,16260.49,152,0.59,0.83,True,False,1579,69.08
11366,2.11,2510,sandy,0.17,1376.0,0.53,2.33,22749.8,447,0.2,0.73,True,False,87,46.23
1536,20.89,1373,loamy,0.12,2028.51,0.37,0.45,9369.93,40,0.85,0.66,True,True,4116,52.15
26761,20.94,2998,clayey,0.89,352.05,0.39,6.04,15499.83,199,0.54,0.4,False,False,1042,72.07
42033,14.0,896,sandy,0.08,2969.1,0.99,6.56,28306.64,196,0.17,0.47,False,False,3144,8.58
61586,16.96,3812,clayey,0.5,4421.3,0.07,5.5,11022.07,251,0.25,0.5,False,True,4698,23.65
60643,36.89,1760,sandy,0.39,195.3,0.3,7.58,14542.0,59,0.29,0.45,False,False,1268,50.32
63106,5.34,1343,loamy,0.33,1816.52,0.25,0.61,13201.13,185,0.61,0.75,True,True,2880,41.1
99948,30.12,2378,sandy,0.02,2866.84,0.64,0.93,12447.2,158,0.41,0.06,True,False,1970,86.12
51709,9.81,150,loamy,0.34,2437.79,0.92,9.28,16767.46,148,0.57,0.45,True,False,2147,62.69
22067,15.35,1739,clayey,0.84,1060.46,0.9,7.75,6142.23,327,0.58,0.64,True,False,580,9.66
43223,21.52,3938,clayey,0.94,3633.77,0.47,1.39,27382.46,2,0.49,0.22,False,False,1210,92.22
97739,21.42,73,loamy,0.95,503.17,0.09,5.32,27237.68,435,0.0,0.73,False,True,756,38.67
43392,10.55,3919,clayey,0.13,3221.78,0.87,8.94,12721.78,224,0.75,0.11,False,False,532,90.25
23041,17.39,1524,clayey,0.25,1277.02,0.56,8.57,12973.99,319,0.8,0.35,True,True,3886,99.73
2716,24.6,497,sandy,0.49,113.64,0.53,1.25,17299.89,206,0.31,0.18,False,True,2055,80.35
49260,33.84,2269,loamy,0.6,353.87,0.04,3.59,4879.25,65,0.29,0.81,True,False,2246,52.2
51877,13.29,81,sandy,0.67,1213.72,0.49,1.84,8069.39,420,0.82,0.94,False,False,3577,56.76
29953,31.12,2818,clayey,0.05,1495.54,0.73,2.95,21347.27,12,0.52,0.59,False,False,2334,80.22
60744,6.54,164,loamy,0.42,4493.97,0.05,1.79,8849.48,292,0.54,0.97,False,False,956,35.95
51312,20.43,813,loamy,0.53,4378.39,0.39,8.42,8394.02,292,0.54,0.57,True,False,50,89.02
9960,31.99,1560,loamy,0.61,4687.74,0.18,7.63,20922.5,332,0.9,0.33,False,True,4396,79.53
91789,8.19,2440,sandy,0.17,230.42,0.53,4.05,10810.73,115,0.78,0.09,True,False,4607,14.62
82975,22.93,3256,sandy,0.3,3403.36,0.93,5.16,16153.6,493,0.48,0.02,True,True,2934,43.43
64068,3.07,3918,loamy,0.31,3094.17,0.06,9.03,10829.11,408,0.82,0.74,False,False,3333,13.84
32090,35.85,2048,sandy,0.67,4796.55,0.95,4.87,29674.35,22,0.59,0.18,False,False,2088,70.75
97399,16.59,3802,sandy,0.3,3255.7,0.74,6.16,24546.73,474,0.65,0.92,True,True,1523,44.79
74071,4.25,1443,clayey,0.76,4026.28,0.25,0.7,29714.19,291,0.19,0.0,False,False,2782,83.02
34306,20.63,1179,sandy,0.26,1205.85,0.07,8.55,12591.63,157,0.59,0.39,False,False,40,78.89
80638,37.58,1371,sandy,0.44,1304.94,0.1,2.53,23315.7,305,0.36,0.78,True,True,4180,53.68
11220,20.73,2908,clayey,0.96,645.39,0.35,7.36,16054.96,187,0.34,0.29,False,True,3731,34.53
24538,38.44,3554,clayey,0.14,571.41,0.12,3.24,29695.15,27,0.9,0.81,False,False,3171,27.04
64375,8.92,2801,sandy,0.91,3973.78,0.67,1.57,2844.87,313,0.66,0.22,False,False,419,49.67
99244,5.54,2815,loamy,0.36,3161.05,0.04,0.08,10116.77,41,0.89,0.25,True,False,911,4.81
27038,3.89,-39,loamy,0.32,86.55,0.27,8.0,25759.11,93,0.66,0.09,True,False,4580,43.04
46384,14.33,2175,loamy,0.73,1471.31,0.45,4.42,25837.24,47,0.28,0.83,False,False,2597,92.72
26874,17.19,1754,loamy,0.94,4515.02,0.05,1.65,23567.32,168,0.88,0.28,True,False,97,86.85
94744,32.64,3755,clayey,0.2,2680.62,0.49,4.67,5276.67,130,0.82,0.88,False,True,809,98.83
21138,0.3,2108,loamy,0.73,1119.39,0.64,0.32,18460.9,121,0.44,0.98,True,True,3859,51.19
60990,37.82,2672,clayey,0.17,3893.52,0.64,9.33,24169.2,121,0.08,0.86,True,True,4530,78.73
847,9.54,945,loamy,0.45,3527.73,0.32,2.34,17629.3,293,0.24,0.82,False,True,1743,11.83
77378,0.37,3258,sandy,0.1,3138.98,0.48,6.12,28946.29,19,0.55,0.16,True,True,2624,73.58
14236,22.08,3335,loamy,0.84,2577.98,0.97,4.65,24221.25,8,0.66,0.58,True,True,1892,9.24
51720,19.72,3182,sandy,0.08,913.69,0.36,0.21,27873.9,274,0.46,0.53,True,True,4168,88.6
30684,34.77,768,clayey,0.72,1162.97,0.74,5.29,21053.97,115,0.96,0.27,False,False,1786,57.74
54184,20.62,416,sandy,0.89,661.64,0.74,4.01,8113.02,241,0.09,1.0,False,True,1309,80.83
99929,23.15,3670,sandy,0.75,1340.92,0.71,7.94,24001.07,234,0.68,0.06,False,True,3928,63.85
8090,34.9,1573,sandy,0.03,329.72,0.17,1.2,1663.26,283,0.03,0.11,False,False,1160,64.38
95586,18.39,8,sandy,0.3,2319.3,0.86,4.83,9704.48,19,0.86,0.37,True,False,3131,68.77
95346,5.91,1370,clayey,0.02,1656.74,0.43,0.41,6731.3,403,0.65,0.39,True,True,1283,40.46
40793,36.68,2502,sandy,0.56,3801.77,0.66,5.9,8578.4,45,0.82,0.04,True,True,3321,71.47
81680,35.23,95,loamy,0.73,4578.92,0.67,8.44,5788.94,402,0.7,0.51,True,False,1845,5.25
45303,37.68,1032,loamy,0.24,398.63,0.08,0.02,28337.63,259,0.66,0.83,True,True,2446,56.63
49233,30.42,1543,loamy,0.1,1005.08,0.06,9.51,10095.07,51,0.74,0.97,True,True,4287,7.15
43966,10.8,3601,loamy,0.12,2047.87,0.13,0.47,22458.35,2,0.34,0.23,False,True,4218,64.06
89906,27.43,2712,sandy,0.37,1164.47,0.56,0.79,7892.31,108,0.12,0.78,False,False,930,45.0
11206,34.3,44,clayey,0.25,898.68,0.06,4.06,3165.96,175,0.71,0.59,False,False,467,82.53
69783,27.57,1048,sandy,0.84,3381.21,0.85,6.32,12008.79,274,0.36,0.72,True,False,2293,5.51
12803,14.3,2995,loamy,0.47,3600.79,0.0,2.06,24651.38,22,0.79,0.25,True,True,254,23.7
21622,7.88,3992,clayey,0.76,2661.95,0.64,3.64,11487.21,45,0.53,0.15,True,True,3868,16.09
6879,32.6,573,clayey,0.31,4410.43,0.21,6.16,27507.83,269,0.49,0.19,True,False,1974,5.26
85275,9.21,2104,loamy,0.15,3054.21,0.96,8.87,12119.85,338,0.06,0.54,False,False,4821,59.91
73272,22.59,1419,clayey,0.69,4790.43,0.61,8.03,3160.73,160,0.67,0.58,True,True,363,98.07
16029,17.48,2537,clayey,0.18,3075.54,0.71,0.78,23897.78,427,0.45,0.59,False,False,3038,80.18
93213,18.9,3995,clayey,0.89,1049.41,0.69,3.84,13256.01,472,0.49,0.36,False,True,2821,56.94
1221,27.85,2281,sandy,0.81,3262.27,0.21,5.61,11744.94,340,0.63,0.63,True,True,802,67.03
65131,9.02,1791,clayey,0.86,1006.42,0.41,0.79,21356.88,81,0.38,0.28,False,False,3628,29.81
12502,34.87,1980,clayey,0.26,1712.07,0.05,4.05,7112.11,156,0.09,0.55,True,True,3337,35.48
62900,27.21,3477,clayey,0.5,581.1,0.02,5.98,24650.8,251,0.32,0.15,False,False,537,90.63
94564,26.0,3884,clayey,0.29,1173.97,0.92,9.37,20144.3,256,0.94,0.47,True,True,3244,26.06
30113,33.15,2882,loamy,0.53,1063.96,0.41,1.66,16722.87,420,0.24,0.9,False,False,1274,37.12
27298,13.52,3394,clayey,0.28,3555.47,0.53,2.38,21690.18,408,0.89,0.09,False,True,2665,4.18
19026,14.83,1896,loamy,0.27,666.44,0.09,2.72,8804.74,487,0.41,0.38,False,True,2883,5.45
48045,26.14,1001,sandy,1.0,4253.25,0.31,6.06,487.74,92,0.04,0.04,False,False,1491,64.62
24615,35.2,649,clayey,0.16,2611.66,0.23,5.95,10620.83,327,0.47,0.29,False,True,1542,23.54
63637,11.73,275,clayey,0.39,4230.12,0.89,7.26,22557.49,136,0.69,0.84,True,True,3360,31.0
88324,3.54,2559,sandy,0.48,1224.47,0.67,1.51,631.47,411,0.64,0.39,True,False,3223,98.06
90012,14.7,3636,sandy,0.82,135.81,0.07,2.89,17187.87,323,0.9,0.03,True,False,414,36.97
90860,15.27,1097,clayey,0.08,1468.5,0.07,7.04,14040.39,165,0.51,0.44,False,True,3935,7.16
58518,29.88,1027,sandy,0.59,3205.25,0.47,8.63,23744.94,381,0.16,0.12,False,False,1266,17.83
4734,18.2,703,sandy,0.72,4337.05,0.87,7.16,5998.46,417,0.73,0.31,True,False,2703,92.11
89040,2.36,3678,loamy,0.83,1118.72,0.56,7.7,24656.2,36,0.18,0.4,True,True,4688,3.01
13739,25.47,893,clayey,0.35,4921.59,0.8,2.03,24270.63,345,0.84,0.33,False,False,2698,81.74
36953,2.02,3219,sandy,0.22,939.84,0.12,1.88,566.15,336,0.48,0.57,True,True,4345,84.92
33946,19.19,1254,loamy,0.01,448.56,0.21,4.71,22903.18,198,0.63,0.98,False,True,2737,89.25
35169,28.41,3522,loamy,0.26,2914.0,0.91,9.67,13836.89,22,0.24,0.73,False,False,4599,58.42
25192,20.7,1431,sandy,0.83,3279.55,0.82,7.06,20186.89,342,0.94,0.99,False,False,3964,59.35
36478,21.76,1940,loamy,0.95,1731.96,0.51,0.49,7881.76,236,0.38,0.93,True,True,90,56.11
88195,26.13,2415,clayey,0.72,798.13,0.79,8.61,6667.03,244,0.36,0.4,False,True,2497,52.53
41941,31.73,2158,sandy,0.0,621.71,0.61,0.81,3589.7,424,0.76,0.65,False,False,524,67.0
94257,7.63,1886,clayey,0.43,4214.27,0.59,4.11,29816.62,6,0.09,0.5,True,True,2031,87.12
67509,38.98,1714,loamy,0.34,3220.33,0.46,0.15,29019.49,58,0.4,0.45,True,True,3864,98.41
37466,22.66,1686,loamy,0.3,4604.85,0.41,0.69,18087.97,237,0.7,0.79,False,False,1758,36.33
9337,22.24,2544,loamy,0.94,1014.48,0.13,1.47,9258.28,188,0.38,0.71,True,True,161,44.83
33247,0.95,1458,loamy,0.65,641.86,0.95,7.37,19085.94,410,0.49,0.98,True,False,153,49.09
70281,4.23,959,sandy,0.59,1065.65,0.73,8.82,15788.52,303,0.36,0.42,False,False,618,67.44
40125,33.11,2402,loamy,0.25,1649.82,0.51,5.54,10470.1,288,0.11,0.94,True,False,1308,98.13
69424,5.55,625,clayey,0.55,2494.72,0.28,0.8,2192.75,139,0.91,0.97,True,True,3599,39.98
23155,4.17,2035,loamy,0.45,653.84,0.26,3.66,20425.25,478,0.08,0.36,False,True,2465,25.89
5831,27.05,1533,clayey,0.98,3096.24,0.7,5.08,14272.8,152,0.04,0.25,True,True,2010,29.17
94719,19.76,1604,sandy,0.62,441.81,0.78,4.42,5186.74,143,0.61,0.54,False,False,131,45.37
71234,2.65,3520,sandy,0.58,411.48,0.14,5.62,19320.67,192,0.11,0.15,True,False,4724,89.58
85009,32.79,80,loamy,0.08,2837.24,0.12,6.07,3863.62,177,0.09,0.03,False,False,1363,14.4
95217,20.64,647,loamy,0.37,4491.94,0.48,2.47,15076.61,346,0.48,0.29,True,True,1613,64.44
23199,3.32,152,clayey,0.29,1058.43,0.4,9.73,26487.44,275,0.18,0.18,True,True,1858,38.9
83359,17.53,2809,loamy,0.32,2645.28,0.98,1.62,24355.65,148,0.56,0.27,True,True,1112,24.13
94,32.86,283,sandy,0.91,3496.3,0.72,3.56,9337.12,258,0.79,0.96,False,False,4910,87.73
2227,10.04,1039,clayey,0.79,1269.02,0.17,3.73,23767.89,20,0.34,0.67,False,False,1216,34.05
61802,5.65,1661,clayey,0.61,4313.3,0.67,7.18,867.85,71,0.13,0.18,False,True,4821,77.15
75419,2.41,2938,sandy,0.82,1892.09,0.99,7.72,8492.94,315,0.7,0.13,True,True,1791,37.6
60828,38.66,2569,loamy,0.73,3573.06,0.69,9.0,3509.62,365,0.42,0.76,False,True,1860,14.63
15176,15.27,2810,clayey,0.54,2954.6,0.98,2.08,17295.86,31,0.01,0.93,True,False,2015,97.78
9902,15.96,3618,clayey,0.92,1925.9,0.34,9.55,22278.24,183,0.46,0.49,True,False,92,89.78
1597,33.23,3017,loamy,0.95,4.13,0.44,7.31,10854.79,415,0.55,0.85,True,False,128,10.03
24465,16.41,2376,sandy,0.99,368.62,0.38,1.87,16656.54,31,0.95,0.39,False,False,3524,32.66
26223,15.98,2209,loamy,0.32,423.41,0.96,6.32,23654.92,268,0.28,0.03,True,True,1304,69.32
69122,5.81,3413,sandy,0.65,3988.56,0.7,8.45,9400.06,235,0.11,0.97,False,False,1251,49.28
94528,4.29,80,sandy,0.1,557.84,0.15,3.12,20373.05,10,0.5,0.82,False,False,348,7.19
26103,11.63,1968,clayey,0.37,362.25,0.38,1.26,16567.43,324,0.81,0.87,True,False,1485,58.78
29445,33.21,1461,clayey,0.84,2659.51,0.99,2.9,29103.72,469,0.17,0.42,False,True,2565,98.1
97550,11.05,127,loamy,0.74,2691.99,0.83,6.71,21695.96,219,0.02,0.98,False,True,4882,57.29
75741,39.82,943,loamy,0.26,2802.12,0.33,0.07,14003.24,429,0.98,0.7,False,False,2674,80.53
34929,24.96,1784,clayey,0.91,2967.06,0.53,6.78,4500.99,41,0.7,0.06,False,False,2831,30.5
80472,22.14,3064,clayey,0.57,179.5,0.94,5.28,4708.61,49,0.29,0.36,True,False,4487,25.61
21522,10.62,1216,sandy,0.43,320.53,0.57,8.38,22694.7,437,0.82,0.64,False,False,2434,0.65
74135,15.37,686,clayey,0.06,4922.61,0.37,2.63,19673.57,401,0.93,0.3,False,False,925,50.9
61370,26.15,2442,sandy,0.93,2178.06,0.36,5.97,1094.91,166,0.06,0.63,False,False,2022,90.15
16857,22.91,3539,loamy,0.01,2972.79,0.76,9.63,773.4,427,0.13,0.98,False,True,666,93.16
68890,0.94,3747,clayey,0.09,2521.19,0.88,6.86,8023.33,383,0.72,0.08,True,False,4713,63.59
47473,27.79,1397,loamy,0.87,433.46,0.11,9.23,20958.56,162,0.63,0.69,True,True,1429,49.97
56819,13.0,3479,sandy,0.36,2603.52,0.68,1.18,28090.7,124,0.29,0.96,False,False,2860,80.05
40717,0.41,2337,sandy,0.14,2595.38,0.89,8.1,18809.75,439,0.46,0.68,True,True,3694,27.66
11109,26.35,945,clayey,0.98,192.34,0.29,1.81,14024.13,166,0.14,0.43,False,False,1372,22.97
1853,34.35,2099,loamy,0.19,1158.8,0.97,9.02,22660.23,52,0.86,0.42,True,True,1203,86.72
87887,38.54,2422,sandy,0.77,3696.88,0.97,2.36,18806.09,227,0.04,0.66,True,True,1417,80.11
94635,27.09,3053,clayey,0.74,4827.37,0.72,7.7,29064.12,274,0.89,1.0,True,True,4104,67.8
10139,21.28,3198,loamy,0.38,4318.55,0.97,7.16,4420.93,396,0.92,0.32,False,True,4317,30.77
61655,7.4,-33,sandy,0.25,446.2,0.36,8.28,12285.87,232,0.01,0.99,True,False,3281,40.34
61128,3.44,3756,clayey,0.28,364.45,0.58,5.04,7163.17,422,0.75,0.28,False,True,3292,98.87
48089,13.39,2507,sandy,0.86,2622.35,0.07,3.81,23435.09,393,0.29,0.28,False,False,4636,45.25
68535,17.46,-49,loamy,0.89,185.84,0.5,5.56,27392.06,2,0.57,0.93,True,False,4516,90.33
37106,8.59,3416,clayey,0.39,573.8,0.62,5.75,17707.26,439,0.77,0.07,True,True,968,89.92
91250,4.99,3089,loamy,0.12,1040.15,0.86,6.54,21809.12,119,0.53,0.49,False,True,3614,24.06
4015,17.42,1195,sandy,0.33,3705.14,0.84,8.95,29766.77,257,0.24,0.62,True,True,2899,29.6
29801,28.4,631,loamy,0.47,3197.72,0.99,1.23,14392.33,125,0.93,0.15,True,False,311,10.81
45015,24.15,2622,clayey,0.98,222.69,0.36,6.98,15747.43,173,0.33,0.28,True,True,4263,0.93
95277,14.36,2135,sandy,0.93,4479.7,0.19,1.39,8218.16,351,0.41,0.47,True,False,3039,72.52
51106,0.8,765,sandy,0.5,3551.0,0.46,6.87,14389.3,395,0.16,0.49,False,False,1123,96.95
11192,17.44,2471,clayey,0.07,2392.43,0.4,1.29,5687.38,459,0.03,0.47,False,False,2627,90.14
62309,25.45,3429,loamy,0.14,2492.29,0.54,4.45,29413.25,248,1.0,0.6,True,True,1895,29.15
31431,0.62,3205,loamy,0.5,820.87,0.95,0.2,14389.56,328,0.78,0.98,True,True,2837,12.67
75856,2.48,3977,sandy,0.53,3876.3,0.24,1.1,665.54,336,0.45,0.68,False,False,1051,61.46
53203,36.44,1825,clayey,0.87,251.14,0.53,0.25,6762.81,106,0.94,0.4,False,False,1842,90.7
32500,22.86,2639,sandy,0.68,3058.11,0.14,7.85,25817.58,186,0.91,0.19,True,False,2239,75.93
50921,27.35,3613,sandy,0.22,911.46,0.06,1.12,29490.28,64,0.46,0.7,True,True,1287,71.29
95327,32.45,117,clayey,0.41,919.98,0.03,5.78,13104.62,113,0.45,0.51,True,True,2451,19.06
17357,2.32,2599,clayey,0.95,1231.37,0.84,6.86,18738.55,355,0.91,0.7,False,True,2846,94.66
45216,39.26,2176,loamy,0.87,1436.7,0.85,2.67,12031.53,168,0.72,0.39,False,True,1328,8.22
85505,26.32,3301,sandy,0.75,1029.13,0.15,1.47,4732.8,138,0.24,0.18,False,True,16,83.88
22150,11.53,603,sandy,0.61,4148.38,0.07,4.52,3293.47,35,0.08,0.53,True,True,3271,15.29
65916,37.38,3138,sandy,0.1,2563.75,0.17,5.82,15554.69,476,0.61,0.19,True,False,3547,99.27
89565,21.34,1945,sandy,0.09,1018.33,0.97,1.94,3532.15,326,0.43,0.8,False,False,2177,72.69
73326,9.9,9,clayey,0.09,4088.63,0.29,6.75,27627.7,361,0.55,0.63,False,True,2400,51.62
82610,33.51,2220,clayey,0.01,3165.94,0.96,1.44,23429.43,301,0.76,0.47,False,True,4958,52.65
85777,30.8,-24,clayey,0.16,4302.62,0.83,8.52,17158.29,37,0.63,0.44,True,True,1453,86.5
85998,14.2,1173,sandy,0.84,799.67,0.91,8.47,9380.61,139,0.16,0.02,False,True,3518,51.5
25238,6.76,212,clayey,0.97,4379.54,0.39,8.82,2499.34,350,0.9,0.57,True,False,142,44.76
10001,7.69,1594,sandy,0.26,4127.63,0.54,4.21,22006.52,322,0.39,0.73,True,False,3674,61.68
79587,18.11,2475,loamy,0.54,1847.79,0.15,0.59,12530.36,455,0.99,0.9,True,False,4782,50.49
85415,32.65,1619,sandy,0.65,1256.09,0.51,9.62,29307.14,483,0.87,0.22,True,False,2016,15.98
19102,20.39,1072,loamy,0.31,545.97,0.82,8.95,18562.93,79,0.9,0.8,True,False,1379,62.62
67125,1.76,1077,clayey,0.42,4660.44,0.47,6.56,964.11,135,0.05,0.95,False,False,4424,33.92
84986,22.48,637,clayey,0.42,1451.09,0.89,7.29,17525.04,172,0.55,0.86,False,True,1928,31.05
66651,16.43,1542,clayey,0.88,1276.05,0.2,1.24,15446.32,70,0.7,0.4,True,False,4472,77.5
30997,19.83,3483,sandy,0.27,965.78,0.51,9.71,6428.51,385,0.85,0.29,False,True,307,1.97
89525,32.21,2268,sandy,0.47,485.46,0.69,5.39,13421.74,459,0.19,0.07,True,False,4365,93.92
74454,5.12,776,clayey,0.63,1369.96,0.65,3.86,25178.41,48,0.05,0.7,True,False,3130,65.08
66435,22.94,777,clayey,0.2,774.43,0.15,2.0,17804.12,48,0.11,0.99,True,True,1173,31.06
97443,33.63,1953,clayey,0.29,3005.16,0.95,6.56,22142.25,88,0.8,0.87,True,True,4356,22.11
75734,0.46,429,sandy,0.53,1549.68,0.18,8.0,1555.49,45,0.06,0.78,False,True,2131,57.24
99956,28.83,1314,loamy,0.75,4745.66,0.85,2.5,15501.32,298,0.79,0.67,True,False,4148,45.74
15209,32.61,149,loamy,0.28,3425.15,0.29,4.12,26848.14,489,0.58,0.01,False,False,4579,54.16
68332,28.99,58,sandy,0.83,2291.18,0.92,8.07,6768.35,407,0.01,0.47,True,False,588,75.31
42156,22.3,1600,clayey,0.35,149.99,0.13,1.82,21539.56,458,0.54,0.12,False,False,2176,65.26
14610,26.3,2039,sandy,0.8,453.65,0.48,4.79,16385.56,411,0.72,0.74,False,False,3418,63.09
71432,35.79,2347,loamy,0.57,1861.41,0.71,7.54,21397.33,165,0.65,0.91,True,False,2096,30.22
97059,5.48,2046,clayey,0.5,1966.93,0.43,0.15,17853.34,460,0.08,0.53,False,True,4945,73.47
62835,29.79,3953,clayey,0.09,4868.81,0.15,7.35,16575.74,297,0.09,0.06,True,True,1863,1.66
82266,38.8,1469,loamy,0.43,1520.76,0.79,0.93,23703.95,222,0.42,0.02,False,False,3193,24.24
89969,39.16,94,clayey,0.08,344.52,0.15,8.88,28462.8,275,0.11,0.99,True,False,3561,12.58
28142,1.9,246,loamy,0.65,4419.64,0.03,3.41,15483.73,393,0.85,0.1,False,True,3946,40.52
53423,39.62,3636,clayey,0.94,3301.58,0.1,8.22,13710.49,102,0.25,0.29,True,True,2796,40.89
40978,20.53,2900,sandy,0.62,1157.23,0.2,4.68,14050.88,330,0.54,0.28,False,False,1227,87.15
7229,31.54,1770,sandy,0.17,4729.01,0.89,7.62,17661.86,280,0.98,0.29,True,False,3983,18.81
46309,16.5,3351,clayey,0.18,1712.08,0.59,2.54,13274.45,441,0.48,0.44,False,False,3632,28.77
18221,23.9,2211,sandy,0.9,631.03,0.12,3.45,29884.6,106,0.55,0.69,False,True,2734,72.15
90561,16.63,2304,sandy,0.81,4473.0,0.18,4.34,22988.24,348,0.24,0.27,False,False,3516,90.11
16185,28.16,-23,sandy,0.01,1765.49,0.11,0.6,17536.51,390,0.84,0.96,True,True,4186,29.92
46017,9.9,2645,clayey,0.21,721.34,0.92,3.49,5993.28,176,0.4,0.55,False,False,3237,88.75
36684,27.54,3228,sandy,0.87,2938.89,0.51,8.9,21239.34,121,0.09,0.43,True,True,795,35.13
13407,11.49,1428,clayey,0.87,2888.55,0.66,4.58,8834.19,363,0.54,0.79,False,False,2948,6.43
33128,28.79,1122,sandy,0.83,84.91,0.3,1.2,13386.56,225,0.88,0.99,False,True,3292,63.15
88140,14.89,2166,loamy,0.66,3989.51,0.66,0.2,7505.54,32,0.0,0.87,False,False,1493,33.94
81295,36.45,2225,clayey,0.95,4006.52,0.15,5.31,2494.3,54,0.41,0.2,False,False,898,22.58
82116,7.34,2572,sandy,0.38,1405.34,0.12,0.24,3692.84,315,0.86,0.9,False,False,1328,44.03
20256,39.04,1997,loamy,0.56,2570.15,0.91,5.22,4533.79,313,0.33,0.66,True,True,1018,30.03
63964,21.22,2189,loamy,1.0,2028.24,0.5,2.67,20956.47,208,0.82,0.43,True,True,2430,27.27
19875,5.01,2103,loamy,0.39,2791.58,0.51,3.19,8618.95,212,0.42,0.62,False,True,2404,42.88
92058,23.52,3196,sandy,0.49,785.28,0.72,3.57,9234.75,404,0.77,0.36,True,True,1359,52.78
64059,5.48,3112,sandy,0.68,810.32,0.79,5.88,14409.74,89,0.78,0.51,True,True,3511,19.72
27076,21.79,1633,clayey,0.4,2323.13,0.63,8.09,3066.54,343,0.29,0.99,True,True,248,87.46
77939,1.73,3706,clayey,0.21,980.02,0.53,0.08,24882.35,442,0.95,0.87,False,False,1707,7.85
27638,0.88,2825,loamy,0.3,3696.78,0.57,2.03,27454.72,303,0.04,0.59,False,False,1971,43.55
3128,25.25,2926,sandy,0.7,2092.76,0.65,8.39,2093.46,472,0.38,0.91,False,False,3519,0.47
32237,15.57,2254,loamy,0.55,4042.3,0.67,1.2,14982.3,340,0.64,0.6,False,False,2606,35.01
36645,15.17,2818,loamy,0.14,2033.02,0.98,7.14,22502.81,355,0.97,0.82,True,True,2239,63.67
32553,19.32,2886,loamy,0.26,1840.92,0.58,4.73,21995.02,287,0.68,0.62,True,False,4278,43.58
56000,39.07,1411,sandy,0.39,3748.85,0.83,6.56,10054.91,315,0.66,0.7,False,True,1611,21.77
